TrajectoryID,PathLength,PenetrationDepth,LateralSpread,LateralY,LateralZ,MeanScatterAngle,FinalEnergy,NumSteps,BoundaryExit
781,4.8459,4.6253,0.8556,0.1718,0.8382,11.5649,0.0000,166,False
782,4.7730,4.5550,0.8832,0.4374,0.7673,11.9163,0.0000,162,False
783,4.8114,4.5836,0.8837,0.1845,0.8643,11.6187,0.0000,164,False
784,4.7757,4.5168,0.9242,-0.0294,0.9237,10.5849,0.0000,163,False
785,4.8259,4.5940,0.8713,0.1442,0.8593,12.1220,0.0000,166,False
786,4.7959,4.5315,0.9283,0.7480,0.5498,10.7138,0.0000,164,False
787,4.9082,4.6755,0.8808,0.2073,0.8560,12.1949,0.0000,168,False
788,4.8848,4.6477,0.8929,0.0634,0.8906,11.3674,0.0000,167,False
789,4.8193,4.5822,0.8972,0.3413,0.8297,11.8638,0.0000,165,False
790,4.7944,4.5409,0.9145,-0.0450,0.9134,10.8329,0.0000,164,False
791,4.7697,4.5262,0.8594,0.2379,0.8258,12.3507,0.0000,166,False
792,4.8104,4.5619,0.8422,0.5414,0.6450,12.0912,0.0000,165,False
793,4.8055,4.5928,0.8322,0.4407,0.7060,11.9405,0.0008,164,False
794,4.7980,4.5559,0.8981,0.5701,0.6940,12.0660,0.0000,164,False
795,4.7767,4.5050,0.9077,0.6998,0.5781,11.9501,0.0000,163,False
796,4.8450,4.5428,0.9282,0.7531,0.5426,10.4284,0.0056,167,False
797,4.8697,4.5258,1.0416,0.8990,0.5261,9.9121,0.0000,168,False
798,4.8478,4.6113,0.8971,-0.0393,0.8962,11.4882,0.0000,167,False
799,4.8216,4.5784,0.8910,0.3904,0.8009,12.6714,0.0000,169,False
800,4.7937,4.5408,0.8970,0.3710,0.8167,11.8595,0.0067,165,False
801,4.7300,4.5053,0.8495,0.1558,0.8351,11.6838,0.0000,163,False
802,4.7791,4.5323,0.8597,0.2528,0.8217,11.6255,0.0000,163,False
803,4.8148,4.5749,0.8969,0.4718,0.7628,11.9622,0.0000,165,False
804,4.7529,4.4758,0.9298,0.7402,0.5627,11.2680,0.0000,162,False
805,4.8337,4.4511,1.0896,-0.8347,0.7004,9.6396,0.0000,168,False
806,4.8781,4.6239,0.9180,-0.2033,0.8952,10.8575,0.0000,168,False
807,4.8311,4.6049,0.9100,-0.0755,0.9068,11.4126,0.0000,165,False
808,4.8153,4.5585,0.8911,0.2359,0.8593,11.1026,0.0000,164,False
809,4.8324,2.4038,1.5134,-1.4311,0.4926,10.9896,0.0091,373,False
810,4.7819,4.5162,0.9100,0.6933,0.5894,11.0501,0.0074,164,False
811,4.7915,4.5141,0.9072,0.7426,0.5211,10.7849,0.0000,163,False
812,4.8920,4.6520,0.8810,0.4427,0.7617,12.1342,0.0000,169,False
813,4.8446,4.6065,0.8882,0.3609,0.8116,11.7961,0.0083,165,False
814,4.7728,4.5528,0.8688,0.4414,0.7482,12.0889,0.0000,163,False
815,4.8367,4.6015,0.8585,0.2165,0.8307,11.9357,0.0069,168,False
816,4.8723,4.6236,0.9284,0.3172,0.8726,11.5905,0.0000,166,False
817,4.8433,4.5922,0.8851,0.3253,0.8232,11.4594,0.0000,165,False
818,4.8285,4.5842,0.8992,0.3112,0.8437,11.4097,0.0000,165,False
819,4.8047,4.5861,0.8774,0.1040,0.8712,11.0065,0.0046,165,False
820,4.8354,4.5350,0.9671,-0.2802,0.9257,10.7309,0.0000,166,False
821,4.8270,4.5868,0.9434,0.0369,0.9427,11.2835,0.0000,164,False
822,4.8406,4.6094,0.7990,0.3324,0.7265,12.4098,0.0000,168,False
823,4.7866,4.5497,0.8316,0.2667,0.7877,12.0575,0.0000,167,False
824,4.8821,4.6106,0.9455,-0.0507,0.9441,10.8899,0.0000,167,False
825,4.8411,4.5601,0.9636,-0.1939,0.9439,10.6345,0.0000,166,False
826,4.7969,4.5197,0.9156,-0.1025,0.9098,11.3838,0.0000,165,False
827,4.7803,4.5171,0.9791,0.7497,0.6297,11.0128,0.0047,163,False
828,4.8373,4.6106,0.8666,0.4094,0.7638,12.7071,0.0000,168,False
829,4.8156,4.5908,0.8929,0.3006,0.8408,11.5097,0.0000,163,False
830,4.7972,4.5752,0.9099,0.0408,0.9090,10.7870,0.0000,164,False
831,4.8332,4.5772,0.8659,0.5551,0.6646,11.8958,0.0034,164,False
832,4.8261,4.5951,0.8101,0.4956,0.6408,12.2970,0.0000,166,False
833,4.7917,4.5499,0.9259,-0.1794,0.9084,10.7304,0.0070,165,False
834,4.7885,4.5178,0.9523,0.6957,0.6503,10.4930,0.0000,162,False
835,4.7918,4.5640,0.9037,-0.0796,0.9002,10.2453,0.0040,165,False
836,4.8312,4.5956,0.8580,0.2029,0.8337,11.5695,0.0000,164,False
837,4.7637,4.5372,0.8750,0.1802,0.8562,11.0877,0.0000,162,False
838,4.8416,4.5904,0.9540,-0.3363,0.8927,9.6173,0.0000,169,False
839,4.8095,4.5668,0.9021,-0.0014,0.9021,12.1875,0.0000,167,False
840,4.8042,4.5047,0.9532,0.7923,0.5300,10.9861,0.0000,164,False
841,4.7973,4.5622,0.9279,0.2770,0.8856,12.2879,0.0000,164,False
842,4.7574,4.5134,0.8453,0.2669,0.8020,11.4139,0.0000,163,False
843,4.8163,4.5992,0.8463,0.4741,0.7011,11.6934,0.0000,164,False
844,4.8370,4.5874,0.9163,0.6083,0.6852,11.7562,0.0000,165,False
845,4.8257,4.5208,0.9856,0.8031,0.5712,11.0318,0.0000,167,False
846,4.8549,4.6164,0.9131,0.2586,0.8757,11.5916,0.0000,164,False
847,4.7510,4.5220,0.8039,0.4818,0.6434,12.1819,0.0000,162,False
848,4.7940,4.5230,0.9579,0.5613,0.7762,11.3538,0.0000,162,False
849,4.8074,4.5730,0.8563,0.4337,0.7384,11.6751,0.0000,164,False
850,4.8397,4.5741,0.9319,0.6383,0.6790,11.8874,0.0000,165,False
851,4.8492,4.6286,0.8648,0.5528,0.6651,11.2115,0.0000,164,False
852,4.7985,4.5753,0.8241,0.2545,0.7838,11.3420,0.0063,164,False
853,4.8361,4.5363,1.0049,0.8289,0.5681,11.4069,0.0012,166,False
854,4.8784,4.6298,0.9421,0.6859,0.6459,11.7180,0.0000,166,False
855,4.8401,4.6041,0.7835,0.3251,0.7129,11.5715,0.0000,168,False
856,4.8225,4.5178,0.9894,-0.2229,0.9640,10.5365,0.0000,164,False
857,4.7757,4.5347,0.9002,0.0640,0.8979,10.6704,0.0000,164,False
858,4.7978,4.5766,0.8905,0.1563,0.8767,10.7725,0.0000,163,False
859,4.7352,4.4350,0.9984,0.8124,0.5804,10.5334,0.0000,162,False
860,4.8703,4.6395,0.8380,0.4297,0.7195,11.9136,0.0000,166,False
861,4.8239,4.5588,0.9677,0.6944,0.6740,11.2563,0.0085,163,False
862,4.7388,4.4338,1.0080,0.8312,0.5702,10.7707,0.0000,163,False
863,4.8518,4.6196,0.8766,0.1892,0.8559,11.0923,0.0000,165,False
864,4.7841,4.5118,0.9440,0.6290,0.7039,11.5946,0.0023,163,False
865,4.8420,4.6094,0.8776,0.4410,0.7588,11.4821,0.0000,165,False
866,4.7754,4.5118,0.9321,0.5841,0.7263,11.5920,0.0000,162,False
867,4.8353,4.5783,0.8811,0.5384,0.6974,11.8144,0.0000,165,False
868,4.8014,4.5423,0.9042,0.5454,0.7212,11.4055,0.0000,164,False
869,4.8924,4.6588,0.8795,-0.0003,0.8795,11.8227,0.0000,169,False
870,4.7845,4.5700,0.8781,0.3293,0.8140,11.1318,0.0057,163,False
