TrajectoryID,PathLength,PenetrationDepth,LateralSpread,LateralY,LateralZ,MeanScatterAngle,FinalEnergy,NumSteps,BoundaryExit
83367,4.7153,-0.4127,2.0454,-1.2508,-1.6184,22.5134,0.0000,48,False
83368,3.8594,-0.6482,2.3851,-2.1971,-0.9280,19.0669,0.0000,46,False
83369,5.9421,0.7984,4.0904,-1.7771,3.6843,20.9412,0.0000,53,False
83370,4.0278,1.1345,2.0451,-1.9288,-0.6799,25.1437,0.0000,46,False
83371,4.7786,0.3175,0.5344,-0.5318,-0.0529,23.9807,0.0000,49,False
83372,5.4693,2.1496,2.6864,-1.2232,-2.3918,14.9287,0.0000,52,False
83373,4.2603,-0.1691,1.1726,-1.1582,-0.1831,22.2539,0.0000,47,False
83374,5.2644,0.5330,2.2238,-1.0172,-1.9775,21.0591,0.0000,52,False
83375,4.7293,-1.6330,1.8034,-1.6035,0.8253,23.1020,0.0000,50,False
83376,4.7454,0.7877,1.6363,-1.2391,1.0687,20.6115,0.0000,50,False
83377,4.9470,-0.6999,1.4733,-0.7542,-1.2656,24.1608,0.0000,48,False
83378,4.1107,1.8066,2.3181,-2.1541,-0.8563,22.2991,0.0000,48,False
83379,4.5898,-0.5785,0.7945,-0.6924,-0.3896,16.1501,0.0000,46,False
83380,5.5920,0.4751,0.7104,-0.0903,-0.7047,20.8933,0.0000,49,False
83381,3.3995,-0.9533,2.7946,-2.6731,0.8148,29.9378,0.0000,46,False
83382,5.0125,-2.4807,2.3458,-2.3223,-0.3314,20.9888,0.0000,50,False
83383,4.7399,2.5468,1.6389,-1.5687,0.4744,20.3328,0.0000,50,False
83384,4.7600,-0.8598,2.6283,-1.3309,-2.2664,19.9688,0.0000,50,False
83385,4.2732,0.1604,2.2761,-1.9580,-1.1607,23.4825,0.0000,48,False
83386,5.2195,-1.4923,2.4454,-1.5673,-1.8771,25.0062,0.0000,56,False
83387,4.3256,1.8210,2.3198,-2.0970,0.9920,25.1789,0.0000,51,False
83388,5.1069,-0.0897,0.8935,-0.8732,0.1895,21.0651,0.0000,47,False
83389,4.4520,-0.7023,3.5036,-2.4377,2.5165,18.7651,0.0000,42,False
83390,4.7552,2.0530,1.2876,-1.2324,0.3729,15.6642,0.0000,48,False
83391,3.0832,-0.5636,2.3894,-2.3382,0.4921,30.8583,0.0000,49,False
83392,4.2913,0.5028,1.2516,-1.1320,0.5339,20.3513,0.0000,50,False
83393,3.8235,0.4244,1.7736,-1.7104,0.4693,23.4525,0.0000,47,False
83394,3.6195,1.3687,2.7584,-2.6477,-0.7736,16.7254,0.0000,46,False
83395,5.5175,-0.4108,0.1484,-0.1468,0.0220,23.4938,0.0000,54,False
83396,4.5599,0.7412,0.8994,-0.8927,0.1095,25.2005,0.0000,52,False
83397,4.3699,1.4298,1.6091,-1.5970,-0.1967,21.7681,0.0000,48,False
83398,4.3340,-2.7047,3.5039,-3.4064,0.8208,21.0567,0.0000,57,False
83399,4.7796,2.2322,1.8943,-1.6152,-0.9896,20.1239,0.0000,46,False
